,c6912,c6939,c6910,c6916,c6914,c6915,c6930,c6937,c6938,c6913,c7241,c7240,c7243,c7242,c7245,c7244,c6901,c6903,c6902,c6905,c6904,c6929,c6906,c6909,c6908,c6948,c6945,c6944,c6941,c6940,c6943,c6942
2017-07-03 12:45:00,138702848.0,212267008.0,212668416.0,212881408.0,135929036.8,135888896.0,212594688.0,211636224.0,211410944.0,138579968.0,137928704.0,139051008.0,138219520.0,137613312.0,138665984.0,137428172.8,3265305804.8,212012236.8,136269824.0,212242432.0,212049920.0,211959808.0,212155596.8,212336640.0,211529728.0,138055680.0,137224192.0,211625574.4,212242432.0,212967424.0,211763200.0,212287488.0
2017-07-03 12:50:00,138705305.6,212271104.0,212672512.0,212885504.0,135933952.0,135892992.0,212598784.0,211644416.0,211415040.0,138584064.0,137932800.0,139055104.0,138226073.6,137617408.0,138670080.0,137432268.8,3265313996.8,212017152.0,136273920.0,212246528.0,212054016.0,211968000.0,212161331.2,212345651.2,211533824.0,138059776.0,137228288.0,211636224.0,212246528.0,212971520.0,211767296.0,212291584.0
2017-07-03 12:55:00,138702028.8,212271104.0,212672512.0,212885504.0,135933952.0,135892172.8,212598784.0,211644416.0,211415040.0,138584064.0,137932800.0,139055104.0,138227712.0,137616588.8,138670899.2,137433088.0,3265629388.8,212016332.8,136273920.0,212246528.0,212054016.0,211968000.0,212164608.0,212348928.0,211533824.0,138059776.0,137228288.0,211636224.0,212246528.0,212971520.0,211767296.0,212291584.0
2017-07-03 13:00:00,138724147.2,212275200.0,212683161.6,212893696.0,135953612.8,135900364.8,212606156.8,211652608.0,211419136.0,138588160.0,137948364.8,139063296.0,138231808.0,137628057.6,138678272.0,137437184.0,3265831731.2,212026982.4,136278016.0,212257996.8,212058112.0,211976192.0,212167884.8,212353024.0,211541196.8,138063872.0,137235660.8,211640320.0,212254720.0,212975616.0,211771392.0,212295680.0
2017-07-03 13:05:00,138726604.8,212276019.2,212684800.0,212893696.0,135954432.0,135901184.0,212606976.0,211652608.0,211419136.0,138588160.0,137951641.6,139063296.0,138231808.0,137629696.0,138678272.0,137441280.0,3265835008.0,212029440.0,136278016.0,212258816.0,212058112.0,211976192.0,212166246.4,212353024.0,211542016.0,138067148.8,137236480.0,211640320.0,212254720.0,212975616.0,211771392.0,212295680.0
2017-07-03 13:10:00,138733158.4,212287488.0,212697088.0,212907622.4,135962624.0,135909376.0,212614348.8,211660800.0,211430604.8,138598809.6,137961472.0,139073945.6,138244096.0,137635430.4,138688921.6,137448652.8,3265845657.6,212037632.0,136290304.0,212267008.0,212070400.0,211984384.0,212180992.0,212359577.6,211554304.0,138080256.0,137244672.0,211648512.0,212262912.0,212983808.0,211779584.0,212303872.0
2017-07-03 13:15:00,146519654.4,214712320.0,215121920.0,215334912.0,142227865.6,143715532.8,215040000.0,214089728.0,213856256.0,146386944.0,137961472.0,139075584.0,138244096.0,137637888.0,138693836.8,137449472.0,3265847296.0,214462464.0,144093184.0,214691840.0,214503424.0,214409216.0,214605004.8,214790144.0,213979136.0,145870028.8,145033625.6,214073344.0,214687744.0,215420928.0,214204416.0,214728704.0
2017-07-03 13:20:00,146521292.8,214716416.0,215126016.0,215339008.0,143798272.0,143720448.0,215048192.0,214093824.0,213860352.0,146390220.8,137965568.0,139079680.0,138248192.0,137641984.0,138702848.0,137456844.8,3265848934.4,214466560.0,144101376.0,214700032.0,214507520.0,214413312.0,214609100.8,214794240.0,213983232.0,145874944.0,145039360.0,214077440.0,214689382.4,215425024.0,214209331.2,214732800.0
2017-07-03 13:25:00,146526208.0,214718054.4,215126016.0,215339008.0,143798272.0,143722086.4,215048192.0,214097920.0,213861990.4,146392678.4,137967206.4,139079680.0,138248192.0,137641984.0,138702848.0,137456025.6,3265853849.6,214468198.4,144101376.0,214700032.0,214509158.4,214413312.0,214604185.6,214794240.0,213983232.0,145873305.6,145039360.0,214079078.4,214687744.0,215426662.4,214211788.8,214736076.8
2017-07-03 13:30:00,146536038.4,214736896.0,215134208.0,215351296.0,143806464.0,143739289.6,215060480.0,214106112.0,213880832.0,146411520.0,137990144.0,139096064.0,138264576.0,137649356.8,138710220.8,137459302.4,3265863680.0,214482944.0,144113664.0,214708224.0,214519808.0,214425600.0,214617292.8,214810624.0,213995520.0,145890508.8,145063936.0,214093824.0,214696755.2,215441408.0,214225715.2,214749184.0
2017-07-03 13:35:00,146535219.2,214736896.0,215134208.0,215351296.0,143806464.0,143740108.8,215060480.0,214106112.0,213880832.0,146411520.0,137990144.0,139096064.0,138264576.0,137653452.8,138710220.8,137466675.2,3265873510.4,214482944.0,144113664.0,214708224.0,214519808.0,214425600.0,214622208.0,214810624.0,213995520.0,145888870.4,145063936.0,214093824.0,214700851.2,215441408.0,214225715.2,214751641.6
2017-07-03 13:40:00,146541772.8,214740992.0,215142400.0,215355392.0,143814656.0,143749120.0,215064576.0,214118400.0,213884928.0,146415616.0,137994240.0,139104256.0,138272768.0,137657548.8,138715136.0,137472409.6,3265884160.0,214487040.0,144121856.0,214716416.0,214523904.0,214431334.4,214626304.0,214814720.0,214003712.0,145893785.6,145068032.0,214106112.0,214711500.8,215444684.8,214228992.0,214757376.0
2017-07-03 13:45:00,146545049.6,214740992.0,215142400.0,215355392.0,143814656.0,143748300.8,215064576.0,214118400.0,213884928.0,146415616.0,137995059.2,139104256.0,138272768.0,137660825.6,138715136.0,137469132.8,3265891532.8,214491136.0,144121856.0,214716416.0,214523904.0,214437888.0,214626304.0,214814720.0,214003712.0,145895424.0,145068032.0,214106112.0,214716416.0,215445504.0,214228992.0,214757376.0
2017-07-03 13:50:00,146545049.6,214745088.0,215146496.0,215359488.0,143819571.2,143751577.6,215072768.0,214122496.0,213889024.0,146419712.0,138002432.0,139108352.0,138276864.0,137666560.0,138719232.0,137471590.4,3265896448.0,214495232.0,144125952.0,214720512.0,214528000.0,214441984.0,214630400.0,214818816.0,214011904.0,145899520.0,145076224.0,214110208.0,214720512.0,215449600.0,214237184.0,214761472.0
2017-07-03 13:55:00,146549964.8,214745088.0,215146496.0,215359488.0,143822848.0,143749939.2,215072768.0,214122496.0,213889024.0,146419712.0,141117030.4,142222950.4,141391462.4,140856524.8,141833011.2,137473228.8,3265899724.8,214495232.0,144125132.8,214720512.0,214528000.0,214441984.0,214632038.4,214818816.0,214011904.0,145897881.6,145076224.0,214110208.0,214717235.2,215448780.8,214237184.0,214761472.0
2017-07-03 14:00:00,152246681.6,219021312.0,219430912.0,219639808.0,149553152.0,149503180.8,219356364.8,218394624.0,218165248.0,152115609.6,151482368.0,152595660.8,151769088.0,151346380.8,152207360.0,151003136.0,3271601356.8,218771456.0,149831680.0,219000832.0,218804224.0,218721484.8,218914816.0,219098316.8,218287308.8,151601152.0,150766387.2,218386432.0,218994278.4,219729100.8,218517504.0,219041792.0
2017-07-03 14:05:00,152246681.6,219025408.0,219430912.0,219639808.0,149553152.0,149501542.4,219357184.0,218394624.0,218165248.0,152117248.0,151482368.0,152598937.6,151769088.0,151345561.6,152205721.6,151008051.2,3271607091.2,218771456.0,149831680.0,219000832.0,218804224.0,218719846.4,218913996.8,219099136.0,218288128.0,151601152.0,150769664.0,218386432.0,218996736.0,219729920.0,218517504.0,219045888.0
2017-07-03 14:10:00,152255692.8,219027865.6,219435008.0,219643904.0,149561344.0,149507276.8,219361280.0,218398720.0,218172620.8,152121344.0,151486464.0,152604672.0,151773184.0,151351296.0,152208998.4,151013785.6,3271614464.0,218779648.0,149835776.0,219004928.0,218812416.0,218726400.0,218923008.0,219103232.0,218292224.0,151605248.0,150773760.0,218390528.0,219004108.8,219734016.0,218525696.0,219054080.0
2017-07-03 14:15:00,152255692.8,219028684.8,219435008.0,219643904.0,149561344.0,149508096.0,219365376.0,218398720.0,218173440.0,152121344.0,151490560.0,152603033.6,151773184.0,151349657.6,152209817.6,151011328.0,3271615283.2,218779648.0,149834137.6,219009024.0,218809958.4,218725580.8,218923008.0,219104051.2,218296320.0,151608524.8,150780313.6,218389708.8,219009024.0,219734016.0,218528972.8,219054080.0
2017-07-03 14:20:00,152264704.0,219034419.2,219451392.0,219652096.0,149569536.0,149518745.6,219373568.0,218406912.0,218181632.0,152129536.0,151498752.0,152616960.0,151785472.0,151357849.6,152218828.8,151021977.6,3271618560.0,218787840.0,149848064.0,219021312.0,218820608.0,218734592.0,218931200.0,219115520.0,218304512.0,151617536.0,150790144.0,218397081.6,219012300.8,219742208.0,218537984.0,219062272.0
