,c7223,c7318,c7210,c7219
2017-06-27 01:25:00,23437611827.2,23201080115.2,25573551308.8,25430324019.2
2017-06-27 01:30:00,23437274316.8,23200934297.6,25573608652.8,25429235302.4
2017-06-27 01:35:00,23436809011.2,23201087488.0,25573707776.0,25429205811.2
2017-06-27 01:40:00,23437414400.0,23201516748.8,25573609472.0,25429309030.4
2017-06-27 01:45:00,23436846694.4,23200891699.2,25573684019.2,25428701184.0
2017-06-27 01:50:00,23437511884.8,23201251328.0,25573647155.2,25429303296.0
2017-06-27 01:55:00,23437078528.0,23200932659.2,25573629952.0,25428698726.4
2017-06-27 02:00:00,23437062144.0,23201739571.2,25574247628.8,25429919334.4
2017-06-27 02:05:00,23436906496.0,23201361100.8,25573949440.0,25429619507.2
2017-06-27 02:10:00,23436875366.4,23200966246.4,25573774131.2,25429810380.8
2017-06-27 02:15:00,23436248678.4,23200459161.6,25573804441.6,25428987084.8
2017-06-27 02:20:00,23436547686.4,23201040793.6,25573816729.6,25430006988.8
2017-06-27 02:25:00,23436551782.4,23200863846.4,25573815091.2,25429885747.2
2017-06-27 02:30:00,23436761497.6,23200600883.2,25574246809.6,25428480819.2
2017-06-27 02:35:00,23436083200.0,23200718848.0,25574073958.4,25428480819.2
2017-06-27 02:40:00,23436873728.0,23201582284.8,25573678284.8,25428716748.8
2017-06-27 02:45:00,23436366643.2,23200918732.8,25573536563.2,25428421836.8
2017-06-27 02:50:00,23436709888.0,23201266892.8,25573693030.4,25429144371.2
2017-06-27 02:55:00,23436414156.8,23201203814.4,25573528371.2,25429127168.0
2017-06-27 03:00:00,23436722176.0,23200818790.4,25574342656.0,25429642444.8
2017-06-27 03:05:00,23436192153.6,23200868761.6,25574290227.2,25429337702.4
2017-06-27 03:10:00,23436995788.8,23201163673.6,25573804441.6,25429739929.6
2017-06-27 03:15:00,23436138086.4,23200963788.8,25573940428.8,25428919910.4
2017-06-27 03:20:00,23437003161.6,23201561804.8,25573990400.0,25429624422.4
2017-06-27 03:25:00,23436971212.8,23201277542.4,25574069043.2,25429598208.0
2017-06-27 03:30:00,23436428902.4,23200815513.6,25573552947.2,25429803008.0
2017-06-27 03:35:00,23436017664.0,23200865484.8,25573535744.0,25429621145.6
2017-06-27 03:40:00,23436534579.2,23201452851.2,25573337497.6,25429105868.8
2017-06-27 03:45:00,23436274073.6,23200645120.0,25573497241.6,25428859289.6
2017-06-27 03:50:00,23436665651.2,23200990822.4,25573554585.6,25429543321.6
2017-06-27 03:55:00,23436526387.2,23201107148.8,25573353062.4,25429372928.0
2017-06-27 04:00:00,23437091635.2,23200998195.2,25573961728.0,25429489254.4
2017-06-27 04:05:00,23437007257.6,23200560742.4,25573693849.6,25429344256.0
2017-06-27 04:10:00,23436995788.8,23200677888.0,25573462835.2,25429535948.8
2017-06-27 04:15:00,23436144640.0,23200124928.0,25573168742.4,25428830617.6
2017-06-27 04:20:00,23436655001.6,23200523878.4,25573326028.8,25429094400.0
2017-06-27 04:25:00,23436254412.8,23200667238.4,25573534105.6,25429268889.6
2017-06-27 04:30:00,23436329779.2,23200506675.2,25573876531.2,25429165670.4
2017-06-27 04:35:00,23436109414.4,23200601702.4,25573951078.4,25429201715.2
2017-06-27 04:40:00,23437263667.2,23200736051.2,25574244352.0,25429843968.0
2017-06-27 04:45:00,23436397772.8,23200873676.8,25574267289.6,25429352448.0
