,c7223,c7318,c7210,c7219
2017-06-26 19:50:00,23.89000015258789,23.339999389648437,23.895999908447266,23.861999893188475
2017-06-26 19:55:00,23.138000106811525,23.987999725341798,23.345999908447265,24.013999938964844
2017-06-26 20:00:00,23.99199981689453,23.650000381469727,23.723999786376954,24.010000228881836
2017-06-26 20:05:00,24.004000091552733,23.987999725341798,23.595999908447265,24.0
2017-06-26 20:10:00,24.00999984741211,23.989999771118164,23.561999893188478,24.0
2017-06-26 20:15:00,24.03400001525879,24.0,23.876000213623048,24.010000228881836
2017-06-26 20:20:00,23.702000045776366,23.987999725341798,23.786000061035157,24.0
2017-06-26 20:25:00,23.836000061035158,23.989999771118164,23.73400001525879,24.0
2017-06-26 20:30:00,23.9439998626709,24.00800018310547,23.62400016784668,24.00800018310547
2017-06-26 20:35:00,24.004000091552733,24.0,23.938000106811522,24.0
2017-06-26 20:40:00,24.018000030517577,24.0,23.997999954223634,24.0
2017-06-26 20:45:00,24.013999938964844,24.061999893188478,24.019999694824218,24.0
2017-06-26 20:50:00,24.010000228881836,24.0,23.8,24.0
2017-06-26 20:55:00,24.00800018310547,24.018000030517577,23.376000213623048,24.0
2017-06-26 21:00:00,23.752000045776366,24.026000595092775,23.931999969482423,24.0
2017-06-26 21:05:00,23.76199951171875,24.002000045776366,23.989999771118164,24.010000228881836
2017-06-26 21:10:00,23.993999481201172,24.01600036621094,24.018000030517577,24.0
2017-06-26 21:15:00,24.036000061035157,24.03400001525879,23.973999786376954,24.010000228881836
2017-06-26 21:20:00,24.0,24.0,23.73400001525879,24.0
2017-06-26 21:25:00,24.0,24.034000396728516,23.878000259399414,24.0
2017-06-26 21:30:00,24.0,24.028000259399413,23.910000228881835,24.010000228881836
2017-06-26 21:35:00,24.0,24.004000091552733,23.671999740600587,24.0
2017-06-26 21:40:00,24.0,24.052000045776367,23.971999740600587,24.010000228881836
2017-06-26 21:45:00,24.0,24.065999603271486,23.77599983215332,24.02400016784668
2017-06-26 21:50:00,24.0,24.049999237060547,23.987999725341798,24.02400016784668
2017-06-26 21:55:00,24.0,24.067999649047852,23.989999771118164,24.022000122070313
2017-06-26 22:00:00,24.010000228881836,24.049999237060547,24.055999755859375,24.010000228881836
2017-06-26 22:05:00,24.0,24.004000091552733,24.0,24.0
2017-06-26 22:10:00,24.0,24.0,24.0,24.0
2017-06-26 22:15:00,24.021999740600585,24.0,24.010000228881836,24.010000228881836
2017-06-26 22:20:00,24.049999237060547,24.00800018310547,24.0,24.0
2017-06-26 22:25:00,24.049999237060547,24.0,24.0,24.0
2017-06-26 22:30:00,24.049999237060547,24.0,24.010000228881836,24.010000228881836
2017-06-26 22:35:00,24.075999450683593,24.045999908447264,24.0,24.0
2017-06-26 22:40:00,24.022000122070313,24.00800018310547,24.0,24.0
2017-06-26 22:45:00,24.002000045776366,24.0,24.010000228881836,24.010000228881836
2017-06-26 22:50:00,24.0,24.0,24.0,24.0
2017-06-26 22:55:00,24.0,24.0,24.0,24.010000228881836
2017-06-26 23:00:00,24.0,24.0,24.010000228881836,24.010000228881836
2017-06-26 23:05:00,24.0,24.0,24.0,24.020000076293947
2017-06-26 23:10:00,24.0,24.0,24.010000228881836,24.010000228881836
2017-06-26 23:15:00,24.02400016784668,24.010000228881836,24.010000228881836,24.010000228881836
2017-06-26 23:20:00,24.0,24.0,24.027999877929688,24.0
2017-06-26 23:25:00,24.0,24.0,24.038000106811523,24.0
2017-06-26 23:30:00,24.010000228881836,24.0,24.01599998474121,24.010000228881836
2017-06-26 23:35:00,24.0,24.0,24.0,24.0
2017-06-26 23:40:00,24.010000228881836,24.0,24.010000228881836,24.0
2017-06-26 23:45:00,24.010000228881836,24.0,24.010000228881836,24.020000457763672
2017-06-26 23:50:00,24.0,24.010000228881836,24.00999984741211,24.0
2017-06-26 23:55:00,24.0,24.0,24.004000091552733,24.0
2017-06-27 00:00:00,24.02400016784668,24.010000228881836,24.020000076293947,24.010000228881836
2017-06-27 00:05:00,24.0,24.0,24.02400016784668,24.0
2017-06-27 00:10:00,24.0,24.0,24.0,24.0
2017-06-27 00:15:00,24.010000228881836,24.010000228881836,24.030000305175783,24.028000259399413
2017-06-27 00:20:00,24.0,24.010000228881836,24.00800018310547,24.0
2017-06-27 00:25:00,24.022000122070313,24.00999984741211,24.0,24.020000076293947
2017-06-27 00:30:00,24.010000228881836,24.01599998474121,24.07399978637695,24.018000411987305
2017-06-27 00:35:00,24.0,24.0,24.006000137329103,24.002000045776366
2017-06-27 00:40:00,24.0,24.0,24.00999984741211,24.028000259399413
2017-06-27 00:45:00,24.010000228881836,24.010000228881836,24.05799980163574,24.013999938964844
2017-06-27 00:50:00,24.0,24.0,24.0,24.028000259399413
2017-06-27 00:55:00,24.0,24.0,24.039999771118165,24.00800018310547
2017-06-27 01:00:00,24.050000381469726,24.010000228881836,24.010000228881836,24.020000076293947
2017-06-27 01:05:00,24.0,24.0,24.0,24.004000091552733
2017-06-27 01:10:00,24.0,24.0,24.00800018310547,24.0
2017-06-27 01:15:00,24.010000228881836,24.018000411987305,24.062000274658203,24.030000305175783
2017-06-27 01:20:00,24.0,24.002000045776366,24.010000228881836,24.00800018310547
2017-06-27 01:25:00,24.00999984741211,24.0,24.061999893188478,24.0939998626709
2017-06-27 01:30:00,24.01599998474121,24.010000228881836,24.063999557495116,24.121999740600586
2017-06-27 01:35:00,24.010000228881836,24.013999938964844,24.049999237060547,24.06999969482422
2017-06-27 01:40:00,24.0,24.0,24.057999420166016,24.049999237060547
