,c7315,c7119,c7316,c7321,c7203,c7123,c7104,c6911,c7102,c6917,c7101,c7124,c7344,c6918,c6919,c7120,c7121,c7122,c7109,c7113,c7202,c7319,c7318,c7340,c7341,c7317,c7309,c7103,c7115,c7114,c7116,c7111,c7110,c6907,c7112,c7223,c6924,c6923,c6922,c6921,c6920,c7201,c7320
2017-07-07 23:30:00,98267592294.4,97968834150.4,98618244300.8,80476390195.2,98393985843.2,98014041702.4,96106040524.8,82548761395.2,96183562240.0,81782683238.4,87401123840.0,97246706073.6,54451997081.6,78282635673.6,96626696192.0,97251811328.0,90158308556.8,92601167872.0,88320294092.8,94399809945.6,98420078182.4,97868997427.2,96661182054.4,85085797580.8,85592145920.0,85022230118.4,90593374208.0,97176999526.4,95875188326.4,97243944550.4,86886822707.2,97019868774.4,97199258828.8,77215909478.4,89167305113.6,92685910016.0,98065325260.8,97038554726.4,89438816665.6,93508722688.0,97681935564.8,85048288870.4,93676210585.6
2017-07-07 23:35:00,100833444659.2,99888907059.2,101138378752.0,83685457100.8,102750516019.2,99871213977.6,101439895961.6,83917965721.6,97785247334.4,84480278528.0,88892347187.2,99129677414.4,57820662988.8,79777984512.0,98500018995.2,99091048857.6,92794091110.4,96881243750.4,90137236275.2,97484364185.6,99978252288.0,101551321907.2,104642760704.0,87460316774.4,89037812531.2,88802589081.6,93269568716.8,99256306892.8,97922207744.0,100761378816.0,88514876211.2,98405905203.2,100292121395.2,78707308134.4,92024605081.6,96822702899.2,99463051673.6,98744745164.8,91710076518.4,94383704473.6,99387500134.4,87539975782.4,97015725260.8
2017-07-07 23:40:00,98295432806.4,98003357696.0,98671475097.6,80490755686.4,98427013529.6,98050289664.0,96004826726.4,82579811532.8,96289783808.0,81846963404.8,87430574080.0,97271635968.0,54465599897.6,78309837209.6,96642979430.4,97284448256.0,90179425894.4,92606491033.6,88337465344.0,94426284851.2,98342388531.2,97958840729.6,96677531648.0,85124922572.8,85595049164.8,85045791129.6,90626259353.6,97205275033.6,95846993920.0,97277915136.0,86909510451.2,97043654246.4,97227107532.8,77245303193.6,89193342566.4,92704396902.4,98092754534.4,97057576550.4,89392942284.8,93525609676.8,97694778982.4,85089602764.8,93688534630.4
2017-07-07 23:45:00,98296680448.0,98014332518.4,98767592652.8,80492922470.4,98564873420.8,98067691110.4,95880768716.8,82576329113.6,96284617113.6,81824136396.8,87467279155.2,97304142643.2,54447151513.6,78328989286.4,96669658316.8,97305613107.2,90155713331.2,92593025843.2,88362558259.2,94463916441.6,98590035148.8,97876356300.8,96667681587.2,85097338470.4,85597727948.8,85016012390.4,90631335116.8,97260294144.0,95878770688.0,97280031948.8,86943352422.4,97065302425.6,97252967219.2,77256761344.0,89211217510.4,92304134144.0,98250793779.2,97152711884.8,89340325888.0,93533567385.6,97714606899.2,85022168678.4,93713395712.0
2017-07-07 23:50:00,98305327104.0,98005577728.0,98445008076.8,80471687168.0,98317722419.2,98067110297.6,96041486745.6,82586071859.2,96077994393.6,81783298457.6,87394531737.6,97273426739.2,54519939891.2,78329051545.6,96666021068.8,97313181696.0,90222656716.8,92607936921.6,88338773606.4,94448936550.4,99251751321.6,97856774144.0,96781140787.2,85297855692.8,85568026214.4,85106746163.2,90449207296.0,97141906636.8,95848666726.4,97258272358.4,86927752396.8,97055651430.4,97245301145.6,77235026329.6,89207114137.6,92448965427.2,98489017958.4,97281533542.4,89688431001.6,93551402188.8,97714629017.6,85017641779.2,93661342924.8
2017-07-07 23:55:00,100997777817.6,100625378508.8,101662943641.6,85699139174.4,104009459302.4,100215225548.8,96934772736.0,84273157734.4,98422412902.4,84821630156.8,89509892915.2,99813533286.4,55017966796.8,79977589964.8,98842200473.6,99462665011.2,92541866803.2,93963107532.8,91076485939.2,97878309273.6,100320932659.2,103183271526.4,98082580070.4,86166730342.4,91203878912.0,89145959219.2,93608792064.0,103238929612.8,98818259353.6,105167946547.2,88799800524.8,100933086412.8,100721359257.6,79051830067.2,92384328089.6,93228705382.4,99822661632.0,99096447385.6,90807055974.4,94866250956.8,99753605529.6,88109152665.6,101030731776.0
2017-07-08 00:00:00,98362005094.4,98044897689.6,98761772236.8,80529312972.8,98691382476.8,98095817523.2,95579480883.2,82604911820.8,96270692352.0,81859446374.4,87482157465.6,97333584691.2,54449346969.6,78341133926.4,96678812057.6,97368312217.6,90163168870.4,92590772224.0,88403599360.0,94513525555.2,98903571660.8,97893557043.2,96664648089.6,85102868070.4,85635203891.2,85033529344.0,90531021619.2,97321730048.0,95916445696.0,97323199692.8,86980315545.6,97101001523.2,97319992524.8,77249826816.0,89250399846.4,92106456268.8,98333083238.4,97180297625.6,89189801984.0,93538299084.8,97752693145.6,85099574067.2,93727549849.6
2017-07-08 00:05:00,98293336473.6,98037248000.0,98469464473.6,80497760665.6,98313093120.0,98130908774.4,96091234304.0,82638763622.4,96544170803.2,81804294553.6,87534995046.4,97310891212.8,54448177971.2,78376525004.8,96726315827.2,97372183756.8,90153256550.4,92638239948.8,88387390668.8,94504396390.4,99389836492.8,97865310208.0,96670383308.8,85101123174.4,85591785472.0,85071248588.8,90444847513.6,97158260326.4,95872249856.0,97290596352.0,86969752780.8,97095806976.0,97290552115.2,77274186547.2,89250012364.8,92487510425.6,98994156339.2,97654118809.6,89591083827.2,93595122892.8,97787466547.2,84981750988.8,93690384384.0
2017-07-08 00:10:00,99310339686.4,100791714611.2,99515363328.0,84047360819.2,99400006041.6,100577594572.8,96999549337.6,84398478131.2,98768538828.8,83959461478.4,90042941440.0,100003317350.4,56227881779.2,80194118451.2,99163157299.2,99771234713.6,91590271795.2,93893183897.6,91400992358.4,97616437248.0,101807279308.8,99264973209.6,98673593548.8,88346954137.6,89423682764.8,86501813452.8,91956844953.6,98658156544.0,99060692582.4,100129253785.6,89121393868.8,100358494617.6,101889393459.2,79157960704.0,94633448243.2,94993965056.0,100407452467.2,99578245120.0,90764604211.2,95159488512.0,100128814694.4,86326552166.4,94933407334.4
2017-07-08 00:15:00,98444744294.4,98665537536.0,98642930073.6,82303424921.6,98531946496.0,99944661811.2,97500110848.0,83215907225.6,96855098163.2,83503528345.6,88073714892.8,97941825945.6,54439646822.4,80057845350.4,98534411468.8,99305376972.8,90165963161.6,94338995814.4,89405675929.6,94500809932.8,98619423948.8,97892805836.8,96664996249.6,85091045376.0,87505382604.8,85017281331.2,90231382016.0,97251024076.8,97710982758.4,99231952076.8,88738320384.0,97621861171.2,97498448691.2,78851225190.4,89587758694.4,92115098828.8,98770874368.0,98961579212.8,89195714150.4,94124301516.8,99557230182.4,84962393292.8,93716938752.0
2017-07-08 00:20:00,98370029158.4,98053180620.8,98677696102.4,80528669081.6,98635627724.8,98123314790.4,95853371392.0,82660546150.4,96259723264.0,81850485964.8,87496613888.0,97334154854.4,54464086835.2,78352926310.4,96702497587.2,97357423411.2,90207257395.2,92625957683.2,88402445926.4,94504926412.8,99150853734.4,97894613811.2,96698761216.0,85121186201.6,85637672960.0,85039941222.4,90301879091.2,97305594265.6,95909052416.0,97327629107.2,86961301913.6,97126110003.2,97296676454.4,77294371635.2,89256123596.8,92265420390.4,98626652569.6,97351371161.6,89530617036.8,93572442521.6,97747395379.2,85056328499.2,93720705433.6
2017-07-08 00:25:00,98312105984.0,98066405785.6,98544566272.0,80529471078.4,98565880217.6,98144319897.6,95740601958.4,82630660096.0,96671086182.4,81883470233.6,87592614297.6,97360233267.2,54443451187.2,78374223872.0,96735127961.6,97380163584.0,90164917043.2,92603060224.0,88424785510.4,94540391219.2,98775672422.4,97893865062.4,96672768000.0,85095169228.8,85655955046.4,85019657011.2,90242170060.8,97275722137.6,95938184806.4,97327159705.6,86980549836.8,97132632473.6,97316809932.8,77274268467.2,89268138803.2,92149769011.2,98415222784.0,97244685107.2,89294328627.2,93572653875.2,97819809382.4,85052618342.4,93720431820.8
2017-07-08 00:30:00,99942377881.6,101076950220.8,100103766835.2,81431922278.4,99907420160.0,104381405593.6,97497074892.8,85298887065.6,98832997580.8,82728225996.8,90034683084.8,100390314803.2,55333194956.8,84101328896.0,104531330662.4,105420464128.0,92929635942.4,94315711692.8,92320041369.6,100329648947.2,101759725568.0,99232205209.6,99884716851.2,87149107609.6,86620294348.8,87812837376.0,93345842790.4,98796643123.2,98226225971.2,98334018764.8,93933754777.6,99897640550.4,103418121420.8,80226539929.6,95123469926.4,93712301260.8,101266432819.2,100215327948.8,92684620595.2,96090762444.8,101043881574.4,86619696332.8,94566608896.0
