,c6912,c6939,c6910,c6916,c6914,c6915,c6930,c6937,c6938,c6913,c7241,c7240,c7243,c7242,c7245,c7244,c6901,c6903,c6902,c6905,c6904,c6929,c6906,c6909,c6908,c6948,c6945,c6944,c6941,c6940,c6943,c6942
2017-07-03 12:45:00,6179677798.4,6172531097.6,6184161280.0,6171469414.4,6166202777.6,6173139763.2,6166421504.0,6181558681.6,6165956198.4,6178668544.0,6333194240.0,6330185318.4,6327223091.2,6333203251.2,6334577049.6,6336577536.0,6135037952.0,6177796096.0,6174652825.6,6178960179.2,6174627430.4,6163393740.8,6182497484.8,6181138432.0,6175903744.0,6167661772.8,6178335129.6,6168351539.2,6168305664.0,6172515532.8,6178032844.8,6164689715.2
2017-07-03 12:50:00,6180109516.8,6172533555.2,6184223539.2,6171561984.0,6165954560.0,6173113548.8,6166665625.6,6181506252.8,6165979136.0,6178633318.4,6333323673.6,6330850508.8,6327368089.6,6333155737.6,6334651596.8,6336894566.4,6135197696.0,6177986969.6,6174934630.4,6178996224.0,6174738022.4,6163297894.4,6182398361.6,6180584652.8,6175846400.0,6168068915.2,6178350694.4,6167727308.8,6168217190.4,6172754739.2,6178168832.0,6164611891.2
2017-07-03 12:55:00,6179792486.4,6172172288.0,6183734476.8,6171262156.8,6166058598.4,6172658073.6,6166645964.8,6181258854.4,6165703065.6,6178332672.0,6333177856.0,6330623590.4,6327059251.2,6332877209.6,6334512332.8,6336482508.8,6134448947.2,6178173747.2,6174451302.4,6178682470.4,6174354636.8,6163282329.6,6182254182.4,6180164403.2,6175630131.2,6167638835.2,6178230272.0,6167631462.4,6167515136.0,6172474572.8,6177907507.2,6164414464.0
2017-07-03 13:00:00,6179881779.2,6172826009.6,6184584806.4,6171909324.8,6166587801.6,6173554278.4,6167386521.6,6182219776.0,6166478028.8,6178953625.6,6333605478.4,6331701657.6,6327536025.6,6333452288.0,6334672896.0,6338405990.4,6135966105.6,6179395174.4,6175472844.8,6178864332.8,6175399116.8,6164016332.8,6183194624.0,6181018828.8,6176133120.0,6168680857.6,6207626444.8,6168968396.8,6168774246.4,6173375692.8,6178872524.8,6165532672.0
2017-07-03 13:05:00,6179881779.2,6172170649.6,6183836876.8,6171349811.2,6165914419.2,6172953804.8,6167298867.2,6181412864.0,6166141337.6,6178233548.8,6333232742.4,6331668070.4,6327379558.4,6333275340.8,6334749900.8,6337463091.2,6136113561.6,6178828288.0,6174836326.4,6178675916.8,6174894489.6,6163556761.6,6182692454.4,6180129996.8,6175980748.8,6168068915.2,6179308339.2,6168687411.2,6168571904.0,6172867788.8,6178025472.0,6165205811.2
2017-07-03 13:10:00,6180102963.2,6172702310.4,6184261222.4,6171591475.2,6165869363.2,6173002956.8,6167344742.4,6181531648.0,6166140518.4,6178317926.4,6333449830.4,6332035072.0,6327196876.8,6332975513.6,6334725324.8,6337807155.2,6136289689.6,6178658713.6,6174691328.0,6178514534.4,6175050137.6,6163321651.2,6182522880.0,6180632166.4,6176215040.0,6168258150.4,6179586867.2,6168738201.6,6168671027.2,6173024256.0,6178048409.6,6165467955.2
2017-07-03 13:15:00,6180069376.0,6172927590.4,6184677376.0,6171491532.8,6165797273.6,6173419110.4,6166831104.0,6181744640.0,6165807104.0,6178477670.4,6333086105.6,6331782758.4,6327064166.4,6332965683.2,6334105190.4,6337336934.4,6136867225.6,6178272051.2,6175302451.2,6178623488.0,6174792908.8,6163553484.8,6182507315.2,6180567449.6,6175983206.4,6168117248.0,6179236249.6,6168347443.2,6168620236.8,6173024256.0,6178172108.8,6166097920.0
2017-07-03 13:20:00,6179851468.8,6172874342.4,6184513536.0,6171484160.0,6165942272.0,6173332275.2,6166858956.8,6181534924.8,6165856256.0,6178347417.6,6333371187.2,6332042444.8,6326967500.8,6333058252.8,6334485299.2,6337618739.2,6137158041.6,6178101657.6,6175195955.2,6178700492.8,6175066521.6,6163511705.6,6182770278.4,6180228300.8,6176231424.0,6168056627.2,6179372236.8,6168711168.0,6168425267.2,6173347840.0,6178051686.4,6166616473.6
2017-07-03 13:25:00,6179789209.6,6172683468.8,6184365260.8,6171548057.6,6165978316.8,6173638656.0,6166998220.8,6181429248.0,6165726003.2,6178335129.6,6333442457.6,6331956428.8,6327138713.6,6332744499.2,6334387814.4,6337364787.2,6137135923.2,6178311372.8,6175023923.2,6178669363.2,6175079628.8,6163560857.6,6182816972.8,6180593664.0,6176458342.4,6168257331.2,6179028172.8,6168389222.4,6168358092.8,6173255270.4,6178227814.4,6166546022.4
2017-07-03 13:30:00,6179725312.0,6172490956.8,6183943372.8,6171465318.4,6165590016.0,6173760716.8,6166886809.6,6181824921.6,6165801369.6,6178695577.6,6333640704.0,6332017868.8,6327439360.0,6332873932.8,6334695833.6,6337431961.6,6137183436.8,6178113126.4,6174861721.6,6178719334.4,6174397235.2,6163753369.6,6182700646.4,6180526489.6,6176623820.8,6168150016.0,6207184076.8,6168009932.8,6168059904.0,6173489561.6,6178635776.0,6166179020.8
