,c6643,c6947
2017-06-29 07:05:00,921564774.4,876126208.0
2017-06-29 07:10:00,921803980.8,876130304.0
2017-06-29 07:15:00,921825280.0,875857510.4
2017-06-29 07:20:00,921931776.0,875682201.6
2017-06-29 07:25:00,922173440.0,875685478.4
2017-06-29 07:30:00,922422476.8,875692032.0
2017-06-29 07:35:00,922492108.8,875406950.4
2017-06-29 07:40:00,922614988.8,875339776.0
2017-06-29 07:45:00,922842726.4,875339776.0
2017-06-29 07:50:00,923088486.4,875347968.0
2017-06-29 07:55:00,923216281.6,875026841.6
2017-06-29 08:00:00,923380121.6,874958028.8
2017-06-29 08:05:00,923611955.2,874958848.0
2017-06-29 08:10:00,923852800.0,874967040.0
2017-06-29 08:15:00,924012544.0,874736025.6
2017-06-29 08:20:00,924200140.8,874590208.0
2017-06-29 08:25:00,924440166.4,874591846.4
2017-06-29 08:30:00,924686745.6,874599219.2
2017-06-29 08:35:00,924807987.2,874523852.8
2017-06-29 08:40:00,925028352.0,874512384.0
2017-06-29 08:45:00,925268377.6,874516480.0
2017-06-29 08:50:00,925518233.6,874520576.0
2017-06-29 08:55:00,925631283.2,874717184.0
2017-06-29 09:00:00,925847552.0,874725376.0
2017-06-29 09:05:00,926085120.0,874725376.0
2017-06-29 09:10:00,926326784.0,874733568.0
2017-06-29 09:15:00,926426726.4,875036672.0
2017-06-29 09:20:00,926671667.2,875040768.0
2017-06-29 09:25:00,926912512.0,875040768.0
2017-06-29 09:30:00,927114035.2,875124326.4
2017-06-29 09:35:00,927169740.8,875409408.0
2017-06-29 09:40:00,927415500.8,875413504.0
2017-06-29 09:45:00,927648153.6,875413504.0
2017-06-29 09:50:00,927848038.4,875479859.2
2017-06-29 09:55:00,927924224.0,875712512.0
2017-06-29 10:00:00,928174080.0,875724800.0
2017-06-29 10:05:00,928415744.0,875724800.0
2017-06-29 10:10:00,928639385.6,875781324.8
2017-06-29 10:15:00,928845004.8,875859968.0
2017-06-29 10:20:00,929091584.0,875868160.0
2017-06-29 10:25:00,929329152.0,875868160.0
2017-06-29 10:30:00,929545420.8,876079513.6
2017-06-29 10:35:00,929747763.2,876392448.0
2017-06-29 10:40:00,929995980.8,876400640.0
2017-06-29 10:45:00,930236825.6,876404736.0
2017-06-29 10:50:00,930443264.0,876717670.4
2017-06-29 10:55:00,930626764.8,877182976.0
2017-06-29 11:00:00,930877440.0,877195264.0
2017-06-29 11:05:00,931110912.0,877195264.0
2017-06-29 11:10:00,931315712.0,877064192.0
2017-06-29 11:15:00,931491840.0,876974080.0
2017-06-29 11:20:00,931730227.2,876978176.0
2017-06-29 11:25:00,931969433.6,876979814.4
2017-06-29 11:30:00,970351411.2,914853068.8
2017-06-29 11:35:00,997357977.6,940818432.0
2017-06-29 11:40:00,997600460.8,940822528.0
2017-06-29 11:45:00,997844582.4,940820889.6
2017-06-29 11:50:00,980628275.2,940553830.4
2017-06-29 11:55:00,954673561.6,940371968.0
2017-06-29 12:00:00,954922598.4,940380160.0
2017-06-29 12:05:00,955165081.6,940380160.0
2017-06-29 12:10:00,955302707.2,940310528.0
2017-06-29 12:15:00,955464089.6,940265472.0
2017-06-29 12:20:00,955716403.2,940273664.0
2017-06-29 12:25:00,955956428.8,940273664.0
2017-06-29 12:30:00,956135014.4,940488294.4
2017-06-29 12:35:00,956334899.2,940538265.6
2017-06-29 12:40:00,956597862.4,940548096.0
2017-06-29 12:45:00,956845260.8,940549734.4
2017-06-29 12:50:00,957116416.0,941234585.6
2017-06-29 12:55:00,957366272.0,941236224.0
2017-06-29 13:00:00,957615308.8,941243596.8
2017-06-29 13:05:00,957867622.4,941359923.2
2017-06-29 13:10:00,958157619.2,941830144.0
2017-06-29 13:15:00,958392729.6,941830144.0
2017-06-29 13:20:00,958635212.8,941834240.0
2017-06-29 13:25:00,958858854.4,941868646.4
2017-06-29 13:30:00,959091507.2,941928448.0
2017-06-29 13:35:00,959333171.2,941928448.0
2017-06-29 13:40:00,959587942.4,941936640.0
2017-06-29 13:45:00,959781273.6,941897318.4
2017-06-29 13:50:00,959995904.0,941873561.6
2017-06-29 13:55:00,960240025.6,941875200.0
2017-06-29 14:00:00,960500531.2,941898137.6
2017-06-29 14:05:00,960765132.8,941993164.8
2017-06-29 14:10:00,961026457.6,942057062.4
2017-06-29 14:15:00,961263206.4,942059520.0
2017-06-29 14:20:00,961508966.4,942066073.6
2017-06-29 14:25:00,961742438.4,942198784.0
2017-06-29 14:30:00,961980006.4,942292992.0
2017-06-29 14:35:00,962220851.2,942292992.0
2017-06-29 14:40:00,962462515.2,942297088.0
2017-06-29 14:45:00,962569011.2,942366720.0
2017-06-29 14:50:00,962783641.6,942391296.0
2017-06-29 14:55:00,963026944.0,942391296.0
2017-06-29 15:00:00,963267788.8,942399488.0
2017-06-29 15:05:00,1017660211.2,942452736.0
2017-06-29 15:10:00,963765862.4,942460928.0
2017-06-29 15:15:00,963996057.6,942460928.0
2017-06-29 15:20:00,964230348.8,942465024.0
2017-06-29 15:25:00,964467097.6,942477312.0
2017-06-29 15:30:00,964706304.0,942482227.2
2017-06-29 15:35:00,964934860.8,942485504.0
2017-06-29 15:40:00,965180620.8,979607552.0
2017-06-29 15:45:00,965271552.0,942247936.0
2017-06-29 15:50:00,965510758.4,942252032.0
2017-06-29 15:55:00,965748326.4,942252032.0
2017-06-29 16:00:00,965992448.0,942260224.0
2017-06-29 16:05:00,966120243.2,941752320.0
2017-06-29 16:10:00,966365184.0,941756416.0
2017-06-29 16:15:00,966604390.4,941760512.0
2017-06-29 16:20:00,966828851.2,941681868.8
2017-06-29 16:25:00,966996787.2,941352550.4
2017-06-29 16:30:00,967247462.4,941367296.0
2017-06-29 16:35:00,967491584.0,941367296.0
2017-06-29 16:40:00,967711129.6,942334771.2
2017-06-29 16:45:00,967838924.8,941253427.2
2017-06-29 16:50:00,968083046.4,941264896.0
2017-06-29 16:55:00,968324710.4,941264896.0
2017-06-29 17:00:00,968564736.0,941282099.2
2017-06-29 17:05:00,968794112.0,941301760.0
2017-06-29 17:10:00,969047244.8,941305856.0
2017-06-29 17:15:00,969287270.4,941309952.0
2017-06-29 17:20:00,969484697.6,994848768.0
2017-06-29 17:25:00,969685401.6,941307494.4
2017-06-29 17:30:00,969933619.2,941318963.2
2017-06-29 17:35:00,970175283.2,941322240.0
2017-06-29 17:40:00,970233446.4,941271449.6
2017-06-29 17:45:00,970419404.8,941256704.0
2017-06-29 17:50:00,970668441.6,941260800.0
2017-06-29 17:55:00,970915840.0,941259980.8
2017-06-29 18:00:00,971055104.0,941150208.0
2017-06-29 18:05:00,971298406.4,941150208.0
2017-06-29 18:10:00,971553996.8,941162496.0
2017-06-29 18:15:00,971795660.8,941111705.6
2017-06-29 18:20:00,972070092.8,940912640.0
2017-06-29 18:25:00,972319948.8,940912640.0
2017-06-29 18:30:00,972574720.0,940921651.2
2017-06-29 18:35:00,972818841.6,940869222.4
2017-06-29 18:40:00,973083443.2,940650496.0
2017-06-29 18:45:00,973322649.6,940650496.0
2017-06-29 18:50:00,973566771.2,940654592.0
2017-06-29 18:55:00,973764198.4,940746342.4
2017-06-29 19:00:00,973941145.6,940902809.6
2017-06-29 19:05:00,974177075.2,940904448.0
2017-06-29 19:10:00,974432665.6,940908544.0
2017-06-29 19:15:00,974629273.6,941291929.6
2017-06-29 19:20:00,974853734.4,941555712.0
2017-06-29 19:25:00,975094579.2,941557350.4
2017-06-29 19:30:00,975337881.6,941564723.2
2017-06-29 19:35:00,975476326.4,941993984.0
2017-06-29 19:40:00,975702425.6,942104576.0
2017-06-29 19:45:00,975949004.8,942104576.0
2017-06-29 19:50:00,976203776.0,942116864.0
2017-06-29 19:55:00,976239820.8,942178304.0
2017-06-29 20:00:00,976489676.8,942186496.0
2017-06-29 20:05:00,976728064.0,942186496.0
2017-06-29 20:10:00,976961536.0,942161920.0
2017-06-29 20:15:00,977140940.8,942030848.0
2017-06-29 20:20:00,977387520.0,942034944.0
2017-06-29 20:25:00,977630822.4,942034944.0
2017-06-29 20:30:00,977822515.2,942139801.6
2017-06-29 20:35:00,977989632.0,942273331.2
