,c6913,c6631,c6630,c6628,c7124,c7120,c7119,c7121,c7122,c7123,c7116
2017-07-15 02:30:00,5596724428.8,5412591206.4,5233378099.2,5532123955.2,5709570048.0,5227548672.0,5772600934.4,5165433651.2,5614916403.2,5367617126.4,5295048294.4
2017-07-15 02:35:00,5551131852.8,5410149990.4,5203239731.2,5830288998.4,5738349363.2,5531407974.4,5621805056.0,5211297382.4,5603458252.8,5686517760.0,5594783744.0
2017-07-15 02:40:00,5798452428.8,5471925043.2,5231772467.2,5346998681.6,5740263833.6,5238113075.2,5952101580.8,5494291660.8,5587849216.0,5311388876.8,5787634073.6
2017-07-15 02:45:00,5391018393.6,5296975872.0,5180741222.4,5562624409.6,5836407603.2,5466923008.0,5849575424.0,5112976179.2,5549586022.4,5467285094.4,5551095808.0
2017-07-15 02:50:00,5557642035.2,5450097459.2,5114336870.4,5498268876.8,5692473344.0,5719727308.8,5567250432.0,5435277312.0,5503579750.4,5435066777.6,5464304844.8
2017-07-15 02:55:00,5748817920.0,5328123494.4,5136338944.0,5391464857.6,5675515904.0,5226020864.0,5682230067.2,5340775219.2,5568158105.6,5287396966.4,5487132672.0
2017-07-15 03:00:00,5553813913.6,5449900032.0,5219455795.2,5339254784.0,5738858086.4,5237411020.8,5648724787.2,5476496179.2,5644405964.8,5326893875.2,5574324224.0
2017-07-15 03:05:00,5603186278.4,5435700019.2,5385636249.6,5545735782.4,5807472640.0,5233890099.2,5699357081.6,5173220147.2,5381818777.6,5370318028.8,5308458598.4
2017-07-15 03:10:00,5586865356.8,5205363916.8,5594042368.0,5613639270.4,5749089075.2,5301021081.6,5669174476.8,5250065203.2,5624525619.2,5550240563.2,5623120691.2
2017-07-15 03:15:00,5613095321.6,5432419942.4,5334512435.2,5548702105.6,5808781721.6,5233296179.2,5701892505.6,5183758336.0,5432858214.4,5370241843.2,5298631475.2
2017-07-15 03:20:00,5577388032.0,5193462579.2,5235155763.2,5607055360.0,5741120716.8,5986042675.2,5656482611.2,5237081702.4,5623657267.2,5543263436.8,5603185459.2
2017-07-15 03:25:00,5694753177.6,5452238028.8,5198748057.6,5321835315.2,5726687232.0,5226181427.2,5925032755.2,5531394867.2,5570571468.8,5305815859.2,5728629555.2
2017-07-15 03:30:00,5613374668.8,5242984857.6,5122435481.6,5503120998.4,5807071232.0,5408818790.4,5765606604.8,5263703244.8,5517795328.0,5431339417.6,6024707276.8
2017-07-15 03:35:00,5452410880.0,5590898278.4,5365757542.4,5503879577.6,5631967232.0,5293642547.2,5620355891.2,5332960051.2,5615535718.4,5418566451.2,5346203238.4
2017-07-15 03:40:00,5703307264.0,5845247590.4,4973517209.6,5731101081.6,5784354816.0,5844751974.4,5799503462.4,5288511078.4,5478322176.0,5420178636.8,5473294745.6
2017-07-15 03:45:00,6070147481.6,5518549811.2,5280413286.4,5393360486.4,5603825254.4,5292111462.4,5468103475.2,5710516224.0,5715694387.2,5345594572.8,5552740761.6
2017-07-15 03:50:00,5623291904.0,5452908134.4,5186387148.8,5606037094.4,5787924889.6,5531911782.4,5760960102.4,5245008281.6,6018543616.0,5452223283.2,5429732147.2
2017-07-15 03:55:00,5397962752.0,5315767500.8,5350422937.6,5419622400.0,5936146022.4,5337809715.2,5674932633.6,5380958617.6,5668725555.2,5413876531.2,5683879116.8
2017-07-15 04:00:00,5735387955.2,5270844211.2,5011804160.0,5571285811.2,5802958028.8,5160801894.4,5839806464.0,5338776371.2,5489133977.6,5438754816.0,5508975820.8
2017-07-15 04:05:00,5406149017.6,5408863027.2,5222653132.8,5533538713.6,5711060172.8,5441262387.2,5523989299.2,5160590540.8,5708455936.0,5482203545.6,6098046976.0
2017-07-15 04:10:00,6327644160.0,5381263360.0,5114530201.6,5290004480.0,5683066470.4,5182127308.8,5695512576.0,5427902054.4,5516031590.4,5288350515.2,5522364006.4
2017-07-15 04:15:00,5615672524.8,5275219558.4,5022860902.4,5641296281.6,5775221555.2,5349178572.8,5701336268.8,5285984665.6,5484831539.2,5579376230.4,5694178918.4
2017-07-15 04:20:00,5422214348.8,5575330201.6,5370910310.4,5475789209.6,5641968025.6,5368262656.0,5704387788.8,5346800435.2,5612824985.6,5400988876.8,5334367436.8
2017-07-15 04:25:00,5727131238.4,5259933286.4,5017362432.0,5561942835.2,5801846374.4,5857488076.8,5832559001.6,5308330803.2,5499577958.4,5440312934.4,5488531046.4
2017-07-15 04:30:00,6041930956.8,5554377523.2,5349863424.0,5439687065.6,5635780608.0,5326209024.0,5538748825.6,6012503654.4,5684473856.0,5377080524.8,5322650419.2
2017-07-15 04:35:00,5710871756.8,5257586278.4,4990728601.6,5799566540.8,5797636505.6,5842753945.6,5827700326.4,5294279065.6,5488064921.6,5573224038.4,5472064307.2
2017-07-15 04:40:00,5396575027.2,5407614566.4,5201653760.0,5518390886.4,5706303078.4,5436790374.4,5512454144.0,5409416806.4,5760770048.0,5474661171.2,5726016307.2
2017-07-15 04:45:00,6033885593.6,5316929126.4,5125414092.8,5401321472.0,5988321689.6,5212701491.2,5676716851.2,5574979584.0,5543280640.0,5295194931.2,5474124595.2
2017-07-15 04:50:00,5471432704.0,5472015155.2,5271835443.2,5637527142.4,5725601792.0,5652738048.0,5564311961.6,5176964710.4,6109702553.6,5539176448.0,5552798105.6
2017-07-15 04:55:00,5630720409.6,5402323353.6,5123070361.6,5298425856.0,5686204006.4,5191301529.6,5842975948.8,5444743987.2,5521800396.8,5298268569.6,5524726579.2
2017-07-15 05:00:00,5656127078.4,5298678169.6,5060506419.2,5447598080.0,5791904563.2,5365310259.2,5728528793.6,5308050636.8,5492846592.0,5422365900.8,5715839385.6
2017-07-15 05:05:00,5444780851.2,5597697638.4,5381018419.2,5505340211.2,5765526323.2,5384469708.8,5496654233.6,5358688665.6,5625788825.6,5427616972.8,5363254067.2
2017-07-15 05:10:00,5754485964.8,5280355942.4,5052645376.0,5569078067.2,5808901324.8,5174820864.0,5850707558.4,5358729625.6,5516866355.2,5444568678.4,5532765388.8
2017-07-15 05:15:00,5457332633.6,5601810022.4,5381360844.8,5518576025.6,5754318848.0,5558884761.6,5504572620.8,5348698521.6,5709581516.8,5436395520.0,5364533657.6
2017-07-15 05:20:00,5744521216.0,5276382822.4,5034177331.2,5568904396.8,5807666790.4,5166142259.2,5846111027.2,5335615897.6,5503508480.0,5442184806.4,5517529907.2
2017-07-15 05:25:00,5421788364.8,5444014080.0,5258512793.6,5571116236.8,5718608281.6,5496037376.0,5546169958.4,5168266444.8,5724944793.6,5506554265.6,5509837619.2
2017-07-15 05:30:00,5771716198.4,5348195532.8,5165524582.4,5452310937.6,5697547468.8,5235118899.2,5711634432.0,5361613209.6,5556600012.8,5307509964.8,5954180710.4
2017-07-15 05:35:00,5517569228.8,5409683046.4,5204557824.0,5678066073.6,5741972684.8,5501270425.6,5609539174.4,5194422681.6,5591924736.0,5572794777.6,5580030771.2
2017-07-15 05:40:00,5673769369.6,5436793651.2,5158933299.2,5319315456.0,5727413043.2,5201846272.0,5633204224.0,5490217779.2,5561159680.0,5305623347.2,5585347379.2
2017-07-15 05:45:00,5665914060.8,5289136128.0,5059776512.0,5817504563.2,5785962905.6,5363345817.6,5722792755.2,5304004608.0,5492307558.4,5463053926.4,5708181504.0
2017-07-15 05:50:00,5445241241.6,5588832256.0,5374459904.0,5485248512.0,5642909286.4,5478935756.8,5596907929.6,5337264947.2,5617084825.6,5420123750.4,5347191193.6
2017-07-15 05:55:00,5724466380.8,5263045427.2,5002933862.4,5560233164.8,5803356979.2,5161562931.2,5826584576.0,5308222668.8,5491739852.8,5439327436.8,5485854720.0
2017-07-15 06:00:00,5447568588.8,5599021465.6,5380661248.0,5495100211.2,5725986816.0,5379657728.0,5488182886.4,5341424844.8,5817614336.0,5425596825.6,5360304128.0
2017-07-15 06:05:00,5716392345.6,5816999936.0,4991990988.8,5560365056.0,5798532710.4,5155418931.2,5834701209.6,5309140172.8,5494314598.4,5472953958.4,5488733388.8
2017-07-15 06:10:00,5369158041.6,5391018393.6,5793019494.4,5500382412.8,6176771276.8,5415026688.0,5506185625.6,5390070579.2,5752700108.8,5461796454.4,5704940748.8
2017-07-15 06:15:00,5826569830.4,5304999116.8,5098801561.6,5379533209.6,5827819110.4,5189071667.2,5877901721.6,5386691379.2,5523597721.6,5289086976.0,5558202368.0
2017-07-15 06:20:00,5458092851.2,5460826521.6,5270333849.6,5597335552.0,5729152204.8,5524748697.6,5557382348.8,5170430771.2,5738796646.4,5529463193.6,5536038912.0
2017-07-15 06:25:00,5654431334.4,5420607078.4,5162207641.6,5309059891.2,5754119782.4,5204828160.0,5632520192.0,5479813939.2,5543519027.2,5303183769.6,5554014617.6
2017-07-15 06:30:00,5666527641.6,5300253491.2,5073480908.8,5792649216.0,5792103628.8,5376937984.0,5732673945.6,5251163750.4,5502418124.8,5702162022.4,5729021952.0
