,c6913,c6631,c6630,c6628,c7124,c7120,c7119,c7121,c7122,c7123,c7116
2017-07-15 04:10:00,270.0,301.5,310.5,315.0,265.5,270.0,270.0,279.0,274.5,261.0,279.0
2017-07-15 04:15:00,270.0,306.0,324.0,319.5,270.0,270.0,288.0,266.4,284.4,255.6,262.8
2017-07-15 04:20:00,265.5,297.0,324.0,301.5,265.5,288.0,306.0,292.5,274.5,265.5,265.5
2017-07-15 04:25:00,265.5,297.0,324.0,306.0,265.5,283.5,261.0,256.5,279.0,265.5,265.5
2017-07-15 04:30:00,274.5,301.5,310.5,306.0,261.0,288.0,270.0,274.5,279.0,247.5,292.5
2017-07-15 04:35:00,270.0,306.0,310.5,310.5,261.0,270.0,252.0,279.0,292.5,265.5,256.5
2017-07-15 04:40:00,279.0,297.0,315.0,301.5,261.0,274.5,274.5,283.5,274.5,261.0,265.5
2017-07-15 04:45:00,270.0,295.2,302.4,313.2,265.5,292.5,306.0,279.0,279.0,283.5,252.0
2017-07-15 04:50:00,284.4,279.0,324.0,315.0,274.5,292.5,297.0,261.0,279.0,261.0,274.5
2017-07-15 04:55:00,283.5,306.0,324.0,319.5,256.5,270.0,283.5,283.5,292.5,270.0,274.5
2017-07-15 05:00:00,274.5,297.0,297.0,288.0,277.2,273.6,280.8,284.4,266.4,266.4,270.0
2017-07-15 05:05:00,274.5,306.0,319.5,310.5,265.5,270.0,279.0,283.5,261.0,270.0,265.5
2017-07-15 05:10:00,270.0,288.0,319.5,301.5,270.0,265.5,283.5,279.0,279.0,265.5,252.0
2017-07-15 05:15:00,279.0,283.5,306.0,292.5,261.0,274.5,274.5,274.5,279.0,261.0,279.0
2017-07-15 05:20:00,279.0,288.0,324.0,292.5,256.5,288.0,274.5,270.0,274.5,274.5,283.5
2017-07-15 05:25:00,279.0,292.5,310.5,297.0,274.5,279.0,261.0,252.0,274.5,274.5,256.5
2017-07-15 05:30:00,270.0,315.0,324.0,288.0,261.0,270.0,274.5,270.0,265.5,265.5,252.0
2017-07-15 05:35:00,270.0,310.5,310.5,310.5,265.5,274.5,279.0,265.5,292.5,261.0,274.5
2017-07-15 05:40:00,283.5,295.2,324.0,306.0,261.0,274.5,279.0,274.5,265.5,265.5,279.0
2017-07-15 05:45:00,280.8,306.0,297.0,319.5,265.5,261.0,297.0,283.5,279.0,274.5,265.5
2017-07-15 05:50:00,274.5,297.0,310.5,310.5,266.4,277.2,284.4,284.4,302.4,270.0,259.2
