,c6643,c6947
2017-06-29 06:20:00,4164248371.2,4216404377.6
2017-06-29 06:25:00,4161716224.0,4216434688.0
2017-06-29 06:30:00,4166595379.2,4215126425.6
2017-06-29 06:35:00,4172877824.0,4218186137.6
2017-06-29 06:40:00,4173241548.8,4215988224.0
2017-06-29 06:45:00,4165435392.0,4210216140.8
2017-06-29 06:50:00,4162055372.8,4209694310.4
2017-06-29 06:55:00,4170260480.0,4209965465.6
2017-06-29 07:00:00,4167667712.0,4215565516.8
2017-06-29 07:05:00,4165719654.4,4212609024.0
2017-06-29 07:10:00,4165369036.8,4217189990.4
2017-06-29 07:15:00,4166928793.6,4208520396.8
2017-06-29 07:20:00,4165010227.2,4214621798.4
2017-06-29 07:25:00,4168702361.6,4211021414.4
2017-06-29 07:30:00,4166339788.8,4211756236.8
2017-06-29 07:35:00,4168969420.8,4217415270.4
2017-06-29 07:40:00,4164336844.8,4209070899.2
2017-06-29 07:45:00,4162693529.6,4211259801.6
2017-06-29 07:50:00,4163884646.4,4212875264.0
2017-06-29 07:55:00,4164897996.8,4215820288.0
2017-06-29 08:00:00,4167557120.0,4212828569.6
2017-06-29 08:05:00,4164638310.4,4204687360.0
2017-06-29 08:10:00,4164056678.4,4209109401.6
2017-06-29 08:15:00,4168142028.8,4211922534.4
2017-06-29 08:20:00,4163214540.8,4210040012.8
2017-06-29 08:25:00,4166790348.8,4214222848.0
2017-06-29 08:30:00,4165328896.0,4210238259.2
2017-06-29 08:35:00,4165568102.4,4215648256.0
2017-06-29 08:40:00,4159792742.4,4216868044.8
2017-06-29 08:45:00,4163891200.0,4207821619.2
2017-06-29 08:50:00,4164101734.4,4213089075.2
2017-06-29 08:55:00,4171917721.6,4216763187.2
2017-06-29 09:00:00,4163600384.0,4215019929.6
2017-06-29 09:05:00,4161483571.2,4211376128.0
2017-06-29 09:10:00,4161789132.8,4216700108.8
2017-06-29 09:15:00,4166018662.4,4217801113.6
2017-06-29 09:20:00,4164428595.2,4213548646.4
2017-06-29 09:25:00,4166071091.2,4214358835.2
2017-06-29 09:30:00,4167318732.8,4216999936.0
2017-06-29 09:35:00,4165755699.2,4218139443.2
2017-06-29 09:40:00,4164837376.0,4214141747.2
2017-06-29 09:45:00,4165332992.0,4218567884.8
2017-06-29 09:50:00,4167209779.2,4218575257.6
2017-06-29 09:55:00,4163869081.6,4213926297.6
2017-06-29 10:00:00,4166367641.6,4206173388.8
2017-06-29 10:05:00,4160157286.4,4212989132.8
2017-06-29 10:10:00,4172243763.2,4213551923.2
