,c6643,c6947
2017-06-29 09:05:00,306.0,288.0
2017-06-29 09:10:00,310.5,295.2
2017-06-29 09:15:00,319.5,297.0
2017-06-29 09:20:00,319.5,301.5
2017-06-29 09:25:00,301.5,288.0
2017-06-29 09:30:00,310.5,297.0
2017-06-29 09:35:00,315.0,301.5
2017-06-29 09:40:00,315.0,297.0
2017-06-29 09:45:00,306.0,297.0
2017-06-29 09:50:00,315.0,301.5
2017-06-29 09:55:00,319.5,297.0
2017-06-29 10:00:00,302.4,274.5
2017-06-29 10:05:00,319.5,288.0
2017-06-29 10:10:00,310.5,297.0
2017-06-29 10:15:00,315.0,306.0
2017-06-29 10:20:00,315.0,297.0
2017-06-29 10:25:00,319.5,297.0
2017-06-29 10:30:00,315.0,297.0
2017-06-29 10:35:00,315.0,306.0
2017-06-29 10:40:00,315.0,297.0
2017-06-29 10:45:00,319.5,295.2
2017-06-29 10:50:00,319.5,297.0
2017-06-29 10:55:00,319.5,292.5
2017-06-29 11:00:00,315.0,279.0
2017-06-29 11:05:00,324.0,297.0
2017-06-29 11:10:00,319.5,297.0
2017-06-29 11:15:00,297.0,288.0
2017-06-29 11:20:00,306.0,297.0
2017-06-29 11:25:00,309.6,302.4
2017-06-29 11:30:00,315.0,288.0
2017-06-29 11:35:00,319.5,292.5
2017-06-29 11:40:00,306.0,279.0
2017-06-29 11:45:00,319.5,292.5
2017-06-29 11:50:00,301.5,288.0
2017-06-29 11:55:00,315.0,283.5
2017-06-29 12:00:00,324.0,288.0
2017-06-29 12:05:00,310.5,301.5
2017-06-29 12:10:00,320.4,292.5
2017-06-29 12:15:00,301.5,297.0
2017-06-29 12:20:00,306.0,283.5
2017-06-29 12:25:00,319.5,288.0
2017-06-29 12:30:00,297.0,292.5
2017-06-29 12:35:00,319.5,292.5
2017-06-29 12:40:00,315.0,274.5
2017-06-29 12:45:00,301.5,306.0
2017-06-29 12:50:00,324.0,300.0
2017-06-29 12:55:00,319.5,306.0
2017-06-29 13:00:00,306.0,292.5
2017-06-29 13:05:00,324.0,297.0
2017-06-29 13:10:00,315.0,274.5
2017-06-29 13:15:00,315.0,297.0
2017-06-29 13:20:00,319.5,283.5
2017-06-29 13:25:00,315.0,301.5
2017-06-29 13:30:00,315.0,288.0
2017-06-29 13:35:00,319.5,301.5
2017-06-29 13:40:00,316.8,288.0
2017-06-29 13:45:00,310.5,284.4
2017-06-29 13:50:00,315.0,292.5
2017-06-29 13:55:00,297.0,283.5
2017-06-29 14:00:00,310.5,274.5
2017-06-29 14:05:00,319.5,297.0
2017-06-29 14:10:00,319.5,292.5
2017-06-29 14:15:00,306.0,297.0
2017-06-29 14:20:00,315.0,297.0
2017-06-29 14:25:00,319.5,306.0
2017-06-29 14:30:00,310.5,301.5
2017-06-29 14:35:00,310.5,288.0
2017-06-29 14:40:00,319.5,288.0
2017-06-29 14:45:00,310.5,297.0
2017-06-29 14:50:00,310.5,301.5
2017-06-29 14:55:00,297.0,301.5
2017-06-29 15:00:00,324.0,301.5
2017-06-29 15:05:00,320.4,306.0
2017-06-29 15:10:00,310.5,295.2
2017-06-29 15:15:00,306.0,301.5
2017-06-29 15:20:00,319.5,306.0
2017-06-29 15:25:00,310.5,292.5
2017-06-29 15:30:00,324.0,301.5
2017-06-29 15:35:00,319.5,297.0
2017-06-29 15:40:00,312.0,306.0
2017-06-29 15:45:00,313.2,288.0
2017-06-29 15:50:00,306.0,301.5
2017-06-29 15:55:00,306.0,301.5
2017-06-29 16:00:00,315.0,310.5
2017-06-29 16:05:00,306.0,297.0
2017-06-29 16:10:00,306.0,297.0
2017-06-29 16:15:00,306.0,292.5
2017-06-29 16:20:00,310.5,292.5
2017-06-29 16:25:00,315.0,301.5
2017-06-29 16:30:00,319.5,292.5
2017-06-29 16:35:00,313.2,270.0
2017-06-29 16:40:00,315.0,292.5
2017-06-29 16:45:00,306.0,298.8
2017-06-29 16:50:00,319.5,297.0
2017-06-29 16:55:00,312.0,294.0
2017-06-29 17:00:00,320.4,274.5
2017-06-29 17:05:00,301.5,302.4
2017-06-29 17:10:00,315.0,301.5
2017-06-29 17:15:00,315.0,292.5
2017-06-29 17:20:00,315.0,297.0
2017-06-29 17:25:00,315.0,297.0
2017-06-29 17:30:00,319.5,297.0
